ID,Name,Start Time,Location,Host URL,Time Updated
1,Duke Toastmasters Meeting,12/14/2016 7:00,Duke Credit Union 2200 W. Main Street,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57832023-0157-8a6e43ab-0000637ddemobedework%40mysite.edu_20161214T120000Z,2016-12-14 10:05:33.763516
2, Final Examinations Begin (9 a.m.),12/14/2016 9:00,None,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-54c7ebdc-0154-eda957bb-00004121demobedework%40mysite.edu,2016-12-14 10:05:33.763541
3,LIVE FOR LIFE @ Duke HealthCheck - Duke Home Care and Hospice Large Conference Room,12/14/2016 10:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58726ff1-0158-78f8b9ee-000015bcdemobedework%40mysite.edu,2016-12-14 10:05:33.763549
5,Duke Hospital Exhibit: SALES DAY 4 - 3rd Annual Holiday Art & Craft Invitational,12/14/2016 11:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57e1de10-0157-f7119a4c-000069d7demobedework%40mysite.edu,2016-12-14 10:05:33.763566
6,Midweek Prayer,12/14/2016 11:30,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-b2677305-00004ac4demobedework%40mysite.edu_20161214T163000Z,2016-12-14 10:05:33.763573
7,Catholic Daily Mass - Wednesday,12/14/2016 12:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-42459dca-0000784fdemobedework%40mysite.edu_20161214T170000Z,2016-12-14 10:05:33.763580
8,Puppies in Perkins,12/14/2016 12:00,Perkins Library 217,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-dfc2b0d8-0000105bdemobedework%40mysite.edu,2016-12-14 10:05:33.763586
9,Can Exercise Teach Us How to Treat Heart Failure?,12/14/2016 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-565478e9-0156-560f8067-000040d8demobedework%40mysite.edu_20161214T170000Z,2016-12-14 10:05:33.763592
10,Duke Epigenetics Seminar Series,12/14/2016 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57b3e626-0157-b5999ab8-0000491ademobedework%40mysite.edu_20161214T210000Z,2016-12-14 10:05:33.763598
11,Duke Scouting Association Meeting,12/14/2016 17:00,GA Down Under,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-584ad555-0158-68f03b3c-00005a57demobedework%40mysite.edu_20161214T220000Z,2016-12-14 10:05:33.763604
12,Catholic Eucharistic Adoration - Goodson Chapel,12/14/2016 20:00,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-423c3769-00006f4cdemobedework%40mysite.edu_20161215T010000Z,2016-12-14 10:05:33.763609
13,Catholic Reconciliation Service - Goodson Chapel,12/14/2016 21:00,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-423e65b9-0000721fdemobedework%40mysite.edu_20161215T020000Z,2016-12-14 10:05:33.763616
14,Catholic Daily Mass - Thursday YOH Football Center,12/15/2016 11:30,Yoh Football Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-424d6566-00007ac8demobedework%40mysite.edu_20161215T163000Z,2016-12-14 10:05:33.763622
15, LIVE FOR LIFE @ Duke Blood Pressure Screening - Duke (South) Clinic Orange Zone Ground Floor,12/15/2016 11:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58726ff1-0158-78548362-00007243demobedework%40mysite.edu,2016-12-14 10:05:33.763628
16,Precision Medicine and The Learning Healthcare System,12/15/2016 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5743f5a9-0157-4966262e-00006916demobedework%40mysite.edu,2016-12-14 10:05:33.763634
17,Durham Crisis Intervention Team: Who Are We and What Do We Do?,12/15/2016 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-588c9b07-0158-b07cfac4-000065a8demobedework%40mysite.edu,2016-12-14 10:05:33.763639
18,Jummah,12/16/2016 12:45,Gray 229 (York Reading Room),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56517d87-0156-6b626a94-000023c5demobedework%40mysite.edu_20161216T174500Z,2016-12-14 10:05:33.763645
19,Nasher Creates: Sketching In The Galleries,12/17/2016 10:00,Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-578a9cb9-0157-8b3a4dbf-00003854demobedework%40mysite.edu,2016-12-14 10:05:33.763651
20,Northern California: Private Screening of Rogue One: A Star Wars Story,12/17/2016 19:15,Redwood City CA,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58226419-0158-282db042-000037d4demobedework%40mysite.edu,2016-12-14 10:05:33.763656
21,Rez Abbasi Invocation Feat. Rudresh Mahanthappa & Vijay Iyer,12/17/2016 20:00,Baldwin Auditorium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-554f97e5-0155-5063553a-00003de3demobedework%40mysite.edu,2016-12-14 10:05:33.763674
22, Wee Praise (Westbrook Building),12/18/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a3099922-00006f7bdemobedework%40mysite.edu_20161218T144500Z,2016-12-14 10:05:33.763680
23, Godly Play (Langford Building),12/18/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30b62e2-00006fd0demobedework%40mysite.edu_20161218T144500Z,2016-12-14 10:05:33.763686
24, Youth Sunday School (Westbrook Building),12/18/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30e2e9f-00007079demobedework%40mysite.edu_20161218T144500Z,2016-12-14 10:05:33.763691
25, Adult Forum A History of the Christmas Tree  (Westbrook Building),12/18/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a306dbfb-00006e86demobedework%40mysite.edu_20161218T144500Z,2016-12-14 10:05:33.763697
26,University Worship,12/18/2016 11:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5434eacf-0154-350a21e0-00001075demobedework%40mysite.edu_20161218T160000Z,2016-12-14 10:05:33.763702
27,Catholic Mass - Goodson Chapel,12/18/2016 11:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dda97066-00001c66demobedework%40mysite.edu_20161218T160000Z,2016-12-14 10:05:33.763708
28,Choral Evensong,12/18/2016 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-568e5692-0156-953746f9-00004e9bdemobedework%40mysite.edu_20161218T210000Z,2016-12-14 10:05:33.763714
29,A German Christmas: Music for Advent & Christmas,12/18/2016 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-55bf1264-0155-cba3c1c0-0000062fdemobedework%40mysite.edu,2016-12-14 10:05:33.763719
30,Youth Fellowship,12/18/2016 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-c334f3a4-000058e4demobedework%40mysite.edu_20161218T220000Z,2016-12-14 10:05:33.763724
31,Catholic Mass - Duke Chapel,12/18/2016 21:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dd94d9f5-000004bfdemobedework%40mysite.edu_20161219T020000Z,2016-12-14 10:05:33.763729
32, Final Examinations End (5 p.m.),12/19/2016 17:00,None,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-54c7ebdc-0154-edaa8ddc-000041ccdemobedework%40mysite.edu,2016-12-14 10:05:33.763735
