Event ID,Group
1,Duke Toastmasters Club
2,Registrar's Office
3,Live for Life (LFL)
6,Duke Chapel
7,Duke Chapel
8,Libraries
11,Duke Scouting Association (DSA)
12,Duke Catholic Center
13,Duke Catholic Center
14,Duke Catholic Center
15,Live for Life (LFL)
18,Muslim Students Association (MSA)
19,Nasher Museum of Art
20,Law School Alumni
21,Duke Performances
26,Duke Chapel
27,Duke Catholic Center
31,Duke Chapel
32,Registrar's Office
33,Athletics
34,Live for Life (LFL)
35,Duke Chapel
37,Duke Toastmasters Club
38,Live for Life (LFL)
40,Duke Chapel
41,PRATTically Speaking Toastmasters Club
42,Athletics
43,Athletics
44,Live for Life (LFL)
45,Duke Chapel
46,Duke Chapel
47,Duke Catholic Center
48,Duke Chapel
49,Duke Chapel
54,Duke Chapel
56,Student Loans
57,Duke Toastmasters Club
59,Duke Chapel
60,Athletics
61,Muslim Students Association (MSA)
62,Athletics
68,Duke Chapel
70,Duke Catholic Center
71,Duke Chapel
72,Athletics
73,Live for Life (LFL)
75,Duke Chapel
76,PRATTically Speaking Toastmasters Club
77,Athletics
78,Live for Life (LFL)
79,Law School Alumni
80,Athletics
82,Muslim Students Association (MSA)
83,Athletics
84,Registrar's Office
89,Duke Chapel
90,Duke Catholic Center
91,Divinity School Duke Center for Reconciliation
92,Athletics
96,Duke Chapel
97,Live for Life (LFL)
99,Live for Life (LFL)
104,CFM - Division of Family Medicine
105,Athletics
106,Duke Toastmasters Club
107,Registrar's Office
108,Live for Life (LFL)
110,Duke Chapel
111,Duke Chapel
112,Career Center
114,Career Center
116,Duke Catholic Center
117,Duke Catholic Center
118,Registrar's Office
119,Pratt School of Engineering
120,Duke Catholic Center
122,Career Center
124,Career Center
125,Pratt School of Engineering
127,Career Center
130,Career Center
131,Athletics
132,Career Center
133,Panhellenic Association (Panhel)
134,Live for Life (LFL)
139,Muslim Students Association (MSA)
140,Career Center
141,Career Center
143,School of Medicine - Office of Biomedical Graduate Education
144,Duke Performances
145,Nasher Museum of Art
146,Athletics
147,Duke Performances
148,Duke Catholic Center
153,Duke Chapel
154,Duke Catholic Center
155,Career Center
156,Career Center
157,Athletics
160,Master of Fine Arts in Experimental & Documentary Arts (MFAEDA)
161,Duke Chapel
162,School of Medicine - Office of Biomedical Graduate Education
163,Registrar's Office
164,Duke Chapel
165,Career Center
166,Live for Life (LFL)
168,Career Center
170,Career Center
171,Career Center
173,Duke Catholic Center
174,Mechanical Engineering and Materials Science (MEMS)
175,Nicholas School-Career Services
176,Duke Chapel
179,Duke Toastmasters Club
180,Live for Life (LFL)
181,Computer Science
183,Duke Chapel
185,Duke Chapel
187,PRATTically Speaking Toastmasters Club
190,Career Center
191,Career Center
192,Career Center
193,Career Center
194,Duke Catholic Center
195,Duke Catholic Center
196,Pratt School of Engineering
197,Career Center
